Ingredient,Country,Claim Category,Allowed Claims,Dosage,Health claim pending European authorisation,Claim Use Notes
Cat’s Claw (Uncaria tomentosa),Portugal,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Greece,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Hungary,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Czechia,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Poland,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Romania,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Slovakia,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Bulgaria,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Slovenia,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Ceylon Cinnamon (Cinnamomum zeylanicum),Netherlands,Blood Glucose Support / Antioxidant Support / Digestive Health / Cardiovascular Health,On-Hold:\nUsed to feel more energetic\nHelps to find more energy\nContributes to find more energy\nUsed for mental and physical fatigue\nHelps to enhance mental and physical capacities\nContributes to enhance mental and physical capacities\nHelps to strengthen the body\nContributes to strengthen the body\nSupports energetic alertness\nTonic effect\nMakes you feel more energetic\nHas stimulating and tonic properties that contribute to the resistance against mental and physical fatigue,Powdered cinnamon bark: 1–3 grams per day\nStandardized extract: 100–500 mg per day (standardized to 2–5% cinnamaldehyde),Health claim pending European authorisation,Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nAvoid excessive consumption due to coumarin content which may cause liver toxicity.\nMay interact with blood-thinning medications.\nNot recommended for individuals with liver disease.\nDiscontinue use if adverse reactions occur such as allergic reactions or gastrointestinal discomfort.
Ceylon Cinnamon (Cinnamomum zeylanicum),Germany,Blood Glucose Support / Antioxidant Support / Digestive Health / Cardiovascular Health,On-Hold:\nUsed to feel more energetic\nHelps to find more energy\nContributes to find more energy\nUsed for mental and physical fatigue\nHelps to enhance mental and physical capacities\nContributes to enhance mental and physical capacities\nHelps to strengthen the body\nContributes to strengthen the body\nSupports energetic alertness\nTonic effect\nMakes you feel more energetic\nHas stimulating and tonic properties that contribute to the resistance against mental and physical fatigue,Powdered cinnamon bark: 1–3 grams per day\nStandardized extract: 100–500 mg per day (standardized to 2–5% cinnamaldehyde),Health claim pending European authorisation,Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nAvoid excessive consumption due to coumarin content which may cause liver toxicity.\nMay interact with blood-thinning medications.\nNot recommended for individuals with liver disease.\nDiscontinue use if adverse reactions occur such as allergic reactions or gastrointestinal discomfort.
Ceylon Cinnamon (Cinnamomum zeylanicum),France,Blood Glucose Support / Antioxidant Support / Digestive Health / Cardiovascular Health,On-Hold:\nUsed to feel more energetic\nHelps to find more energy\nContributes to find more energy\nUsed for mental and physical fatigue\nHelps to enhance mental and physical capacities\nContributes to enhance mental and physical capacities\nHelps to strengthen the body\nContributes to strengthen the body\nSupports energetic alertness\nTonic effect\nMakes you feel more energetic\nHas stimulating and tonic properties that contribute to the resistance against mental and physical fatigue,Powdered cinnamon bark: 1–3 grams per day\nStandardized extract: 100–500 mg per day (standardized to 2–5% cinnamaldehyde),Health claim pending European authorisation,Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nAvoid excessive consumption due to coumarin content which may cause liver toxicity.\nMay interact with blood-thinning medications.\nNot recommended for individuals with liver disease.\nDiscontinue use if adverse reactions occur such as allergic reactions or gastrointestinal discomfort.
Ceylon Cinnamon (Cinnamomum zeylanicum),Spain,Blood Glucose Support / Antioxidant Support / Digestive Health / Cardiovascular Health,On-Hold:\nUsed to feel more energetic\nHelps to find more energy\nContributes to find more energy\nUsed for mental and physical fatigue\nHelps to enhance mental and physical capacities\nContributes to enhance mental and physical capacities\nHelps to strengthen the body\nContributes to strengthen the body\nSupports energetic alertness\nTonic effect\nMakes you feel more energetic\nHas stimulating and tonic properties that contribute to the resistance against mental and physical fatigue,Powdered cinnamon bark: 1–3 grams per day\nStandardized extract: 100–500 mg per day (standardized to 2–5% cinnamaldehyde),Health claim pending European authorisation,Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nAvoid excessive consumption due to coumarin content which may cause liver toxicity.\nMay interact with blood-thinning medications.\nNot recommended for individuals with liver disease.\nDiscontinue use if adverse reactions occur such as allergic reactions or gastrointestinal discomfort.
Ceylon Cinnamon (Cinnamomum zeylanicum),Italy,Blood Glucose Support / Antioxidant Support / Digestive Health / Cardiovascular Health,On-Hold:\nUsed to feel more energetic\nHelps to find more energy\nContributes to find more energy\nUsed for mental and physical fatigue\nHelps to enhance mental and physical capacities\nContributes to enhance mental and physical capacities\nHelps to strengthen the body\nContributes to strengthen the body\nSupports energetic alertness\nTonic effect\nMakes you feel more energetic\nHas stimulating and tonic properties that contribute to the resistance against mental and physical fatigue,Powdered cinnamon bark: 1–3 grams per day\nStandardized extract: 100–500 mg per day (standardized to 2–5% cinnamaldehyde),Health claim pending European authorisation,Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nAvoid excessive consumption due to coumarin content which may cause liver toxicity.\nMay interact with blood-thinning medications.\nNot recommended for individuals with liver disease.\nDiscontinue use if adverse reactions occur such as allergic reactions or gastrointestinal discomfort.
Ceylon Cinnamon (Cinnamomum zeylanicum),Belgium,Blood Glucose Support / Antioxidant Support / Digestive Health / Cardiovascular Health,On-Hold:\nUsed to feel more energetic\nHelps to find more energy\nContributes to find more energy\nUsed for mental and physical fatigue\nHelps to enhance mental and physical capacities\nContributes to enhance mental and physical capacities\nHelps to strengthen the body\nContributes to strengthen the body\nSupports energetic alertness\nTonic effect\nMakes you feel more energetic\nHas stimulating and tonic properties that contribute to the resistance against mental and physical fatigue,Powdered cinnamon bark: 1–3 grams per day\nStandardized extract: 100–500 mg per day (standardized to 2–5% cinnamaldehyde),Health claim pending European authorisation,Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nAvoid excessive consumption due to coumarin content which may cause liver toxicity.\nMay interact with blood-thinning medications.\nNot recommended for individuals with liver disease.\nDiscontinue use if adverse reactions occur such as allergic reactions or gastrointestinal discomfort.
Ceylon Cinnamon (Cinnamomum zeylanicum),Austria,Blood Glucose Support / Antioxidant Support / Digestive Health / Cardiovascular Health,On-Hold:\nUsed to feel more energetic\nHelps to find more energy\nContributes to find more energy\nUsed for mental and physical fatigue\nHelps to enhance mental and physical capacities\nContributes to enhance mental and physical capacities\nHelps to strengthen the body\nContributes to strengthen the body\nSupports energetic alertness\nTonic effect\nMakes you feel more energetic\nHas stimulating and tonic properties that contribute to the resistance against mental and physical fatigue,Powdered cinnamon bark: 1–3 grams per day\nStandardized extract: 100–500 mg per day (standardized to 2–5% cinnamaldehyde),Health claim pending European authorisation,Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nAvoid excessive consumption due to coumarin content which may cause liver toxicity.\nMay interact with blood-thinning medications.\nNot recommended for individuals with liver disease.\nDiscontinue use if adverse reactions occur such as allergic reactions or gastrointestinal discomfort.
Ceylon Cinnamon (Cinnamomum zeylanicum),Sweden,Blood Glucose Support / Antioxidant Support / Digestive Health / Cardiovascular Health,On-Hold:\nUsed to feel more energetic\nHelps to find more energy\nContributes to find more energy\nUsed for mental and physical fatigue\nHelps to enhance mental and physical capacities\nContributes to enhance mental and physical capacities\nHelps to strengthen the body\nContributes to strengthen the body\nSupports energetic alertness\nTonic effect\nMakes you feel more energetic\nHas stimulating and tonic properties that contribute to the resistance against mental and physical fatigue,Powdered cinnamon bark: 1–3 grams per day\nStandardized extract: 100–500 mg per day (standardized to 2–5% cinnamaldehyde),Health claim pending European authorisation,Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nAvoid excessive consumption due to coumarin content which may cause liver toxicity.\nMay interact with blood-thinning medications.\nNot recommended for individuals with liver disease.\nDiscontinue use if adverse reactions occur such as allergic reactions or gastrointestinal discomfort.
Ceylon Cinnamon (Cinnamomum zeylanicum),Norway,Blood Glucose Support / Antioxidant Support / Digestive Health / Cardiovascular Health,On-Hold:\nUsed to feel more energetic\nHelps to find more energy\nContributes to find more energy\nUsed for mental and physical fatigue\nHelps to enhance mental and physical capacities\nContributes to enhance mental and physical capacities\nHelps to strengthen the body\nContributes to strengthen the body\nSupports energetic alertness\nTonic effect\nMakes you feel more energetic\nHas stimulating and tonic properties that contribute to the resistance against mental and physical fatigue,Powdered cinnamon bark: 1–3 grams per day\nStandardized extract: 100–500 mg per day (standardized to 2–5% cinnamaldehyde),Health claim pending European authorisation,Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nAvoid excessive consumption due to coumarin content which may cause liver toxicity.\nMay interact with blood-thinning medications.\nNot recommended for individuals with liver disease.\nDiscontinue use if adverse reactions occur such as allergic reactions or gastrointestinal discomfort.
Ceylon Cinnamon (Cinnamomum zeylanicum),Denmark,Blood Glucose Support / Antioxidant Support / Digestive Health / Cardiovascular Health,On-Hold:\nUsed to feel more energetic\nHelps to find more energy\nContributes to find more energy\nUsed for mental and physical fatigue\nHelps to enhance mental and physical capacities\nContributes to enhance mental and physical capacities\nHelps to strengthen the body\nContributes to strengthen the body\nSupports energetic alertness\nTonic effect\nMakes you feel more energetic\nHas stimulating and tonic properties that contribute to the resistance against mental and physical fatigue,Powdered cinnamon bark: 1–3 grams per day\nStandardized extract: 100–500 mg per day (standardized to 2–5% cinnamaldehyde),Health claim pending European authorisation,Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nAvoid excessive consumption due to coumarin content which may cause liver toxicity.\nMay interact with blood-thinning medications.\nNot recommended for individuals with liver disease.\nDiscontinue use if adverse reactions occur such as allergic reactions or gastrointestinal discomfort.
Ceylon Cinnamon (Cinnamomum zeylanicum),Portugal,Blood Glucose Support / Antioxidant Support / Digestive Health / Cardiovascular Health,On-Hold:\nUsed to feel more energetic\nHelps to find more energy\nContributes to find more energy\nUsed for mental and physical fatigue\nHelps to enhance mental and physical capacities\nContributes to enhance mental and physical capacities\nHelps to strengthen the body\nContributes to strengthen the body\nSupports energetic alertness\nTonic effect\nMakes you feel more energetic\nHas stimulating and tonic properties that contribute to the resistance against mental and physical fatigue,Powdered cinnamon bark: 1–3 grams per day\nStandardized extract: 100–500 mg per day (standardized to 2–5% cinnamaldehyde),Health claim pending European authorisation,Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nAvoid excessive consumption due to coumarin content which may cause liver toxicity.\nMay interact with blood-thinning medications.\nNot recommended for individuals with liver disease.\nDiscontinue use if adverse reactions occur such as allergic reactions or gastrointestinal discomfort.
Ceylon Cinnamon (Cinnamomum zeylanicum),Greece,Blood Glucose Support / Antioxidant Support / Digestive Health / Cardiovascular Health,On-Hold:\nUsed to feel more energetic\nHelps to find more energy\nContributes to find more energy\nUsed for mental and physical fatigue\nHelps to enhance mental and physical capacities\nContributes to enhance mental and physical capacities\nHelps to strengthen the body\nContributes to strengthen the body\nSupports energetic alertness\nTonic effect\nMakes you feel more energetic\nHas stimulating and tonic properties that contribute to the resistance against mental and physical fatigue,Powdered cinnamon bark: 1–3 grams per day\nStandardized extract: 100–500 mg per day (standardized to 2–5% cinnamaldehyde),Health claim pending European authorisation,Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nAvoid excessive consumption due to coumarin content which may cause liver toxicity.\nMay interact with blood-thinning medications.\nNot recommended for individuals with liver disease.\nDiscontinue use if adverse reactions occur such as allergic reactions or gastrointestinal discomfort.
Ceylon Cinnamon (Cinnamomum zeylanicum),Hungary,Blood Glucose Support / Antioxidant Support / Digestive Health / Cardiovascular Health,On-Hold:\nUsed to feel more energetic\nHelps to find more energy\nContributes to find more energy\nUsed for mental and physical fatigue\nHelps to enhance mental and physical capacities\nContributes to enhance mental and physical capacities\nHelps to strengthen the body\nContributes to strengthen the body\nSupports energetic alertness\nTonic effect\nMakes you feel more energetic\nHas stimulating and tonic properties that contribute to the resistance against mental and physical fatigue,Powdered cinnamon bark: 1–3 grams per day\nStandardized extract: 100–500 mg per day (standardized to 2–5% cinnamaldehyde),Health claim pending European authorisation,Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nAvoid excessive consumption due to coumarin content which may cause liver toxicity.\nMay interact with blood-thinning medications.\nNot recommended for individuals with liver disease.\nDiscontinue use if adverse reactions occur such as allergic reactions or gastrointestinal discomfort.
Ceylon Cinnamon (Cinnamomum zeylanicum),Czechia,Blood Glucose Support / Antioxidant Support / Digestive Health / Cardiovascular Health,On-Hold:\nUsed to feel more energetic\nHelps to find more energy\nContributes to find more energy\nUsed for mental and physical fatigue\nHelps to enhance mental and physical capacities\nContributes to enhance mental and physical capacities\nHelps to strengthen the body\nContributes to strengthen the body\nSupports energetic alertness\nTonic effect\nMakes you feel more energetic\nHas stimulating and tonic properties that contribute to the resistance against mental and physical fatigue,Powdered cinnamon bark: 1–3 grams per day\nStandardized extract: 100–500 mg per day (standardized to 2–5% cinnamaldehyde),Health claim pending European authorisation,Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nAvoid excessive consumption due to coumarin content which may cause liver toxicity.\nMay interact with blood-thinning medications.\nNot recommended for individuals with liver disease.\nDiscontinue use if adverse reactions occur such as allergic reactions or gastrointestinal discomfort.
Ceylon Cinnamon (Cinnamomum zeylanicum),Poland,Blood Glucose Support / Antioxidant Support / Digestive Health / Cardiovascular Health,On-Hold:\nUsed to feel more energetic\nHelps to find more energy\nContributes to find more energy\nUsed for mental and physical fatigue\nHelps to enhance mental and physical capacities\nContributes to enhance mental and physical capacities\nHelps to strengthen the body\nContributes to strengthen the body\nSupports energetic alertness\nTonic effect\nMakes you feel more energetic\nHas stimulating and tonic properties that contribute to the resistance against mental and physical fatigue,Powdered cinnamon bark: 1–3 grams per day\nStandardized extract: 100–500 mg per day (standardized to 2–5% cinnamaldehyde),Health claim pending European authorisation,Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nAvoid excessive consumption due to coumarin content which may cause liver toxicity.\nMay interact with blood-thinning medications.\nNot recommended for individuals with liver disease.\nDiscontinue use if adverse reactions occur such as allergic reactions or gastrointestinal discomfort.
